t	shoulder_pan_joint	shoulder_lift_joint	elbow_joint	wrist_1_joint	wrist_2_joint	wrist_3_joint	rg2_gripper_joint
0.0167	-0.0372	0.4985	0.0466	0.0010	0.0090	0.0434	0.0000
0.0333	-2.7639	1.2020	-17.7089	-41.2311	-2.7297	-52.1031	0.0011
0.0500	-2.7639	1.2020	-17.7089	-41.2311	-2.7297	-52.1031	0.0011
0.0667	24.6683	22.8884	125.4025	313.2198	192.7395	-520.0139	-0.0528
0.0833	8.0350	22.9613	123.9175	282.0502	175.4274	-559.4870	-0.0000
0.1000	0.6747	25.4658	128.5575	289.9893	179.4874	-546.3020	0.7611
0.1167	0.1998	27.4227	131.7690	294.6622	179.9364	-536.1601	0.4451
0.1333	0.0311	28.0588	135.2324	300.7878	180.0370	-525.9282	1.0251
0.1500	-0.0546	28.2568	138.7197	307.4011	180.1299	-515.6288	0.7599
0.1667	-0.1358	28.3168	142.1896	314.2597	180.1982	-505.2388	1.3097
0.1833	-0.3562	28.3044	145.6074	321.2877	180.5919	-494.8034	1.1588
0.2000	-0.2638	28.3012	148.9072	328.3907	180.5825	-484.3830	0.8193
0.2167	-0.3109	28.2867	152.1054	335.4025	180.6059	-474.1707	0.7592
0.2333	-0.2981	28.2737	155.2442	342.3139	180.4751	-464.1407	0.7341
0.2500	0.1194	28.2472	158.3502	349.1305	179.9624	-454.2592	0.6999
0.2667	2.3044	27.9673	161.3749	355.8297	177.7157	-444.8316	0.5650
0.2833	-1.3818	28.5474	164.3648	347.2144	181.3394	-449.8943	0.3389
0.3000	-2.0145	28.6514	167.5445	353.7886	182.0197	-440.0179	0.5395
0.3167	0.3620	28.3566	170.8316	353.2686	179.6842	-437.5483	0.3623
0.3333	-1.6975	28.5123	173.9655	356.1776	181.6269	-431.3690	0.2365
0.3500	0.3918	28.3780	177.3181	357.8147	179.7316	-426.5057	0.3805
0.3667	-1.0140	28.4108	180.1251	360.4334	181.0307	-421.0374	0.0737
0.3833	-0.3477	28.7364	180.1136	360.2905	180.4069	-420.8668	0.3116
0.4000	-0.3867	28.8492	180.1136	360.2975	180.4425	-420.7464	0.0940
0.4167	-0.3861	28.8829	180.1140	360.3004	180.4418	-420.7097	0.1892
0.4333	-0.3865	28.8934	180.1141	360.3011	180.4425	-420.6983	0.0771
0.4500	-0.3867	28.8966	180.1142	360.3014	180.4427	-420.6949	0.1015
0.4667	-0.3868	28.8976	180.1141	360.3012	180.4429	-420.6939	0.0470
0.4833	-0.3869	28.8979	180.1141	360.3013	180.4429	-420.6935	0.0448
0.5000	-0.3870	28.8980	180.1141	360.3013	180.4428	-420.6935	0.0130
0.5167	-0.3871	28.8980	180.1142	360.3013	180.4431	-420.6935	0.0033
0.5333	-0.3871	28.8980	180.1141	360.3012	180.4431	-420.6934	0.0051
0.5500	-0.3872	28.8980	180.1141	360.3012	180.4432	-420.6934	0.0085
0.5667	-0.3872	28.8980	180.1141	360.3012	180.4431	-420.6934	0.0115
0.5833	-0.3872	28.8980	180.1141	360.3012	180.4433	-420.6935	0.0134
0.6000	-0.3872	28.8980	180.1141	360.3012	180.4432	-420.6934	0.0130
0.6167	-0.3873	28.8980	180.1141	360.3012	180.4433	-420.6934	0.0133
0.6333	-0.3874	28.8980	180.1142	360.3012	180.4436	-420.6935	0.0095
0.6500	-0.3873	28.8980	180.1142	360.3013	180.4435	-420.6935	0.0113
0.6667	-0.3873	28.8980	180.1141	360.3013	180.4435	-420.6935	0.0106
0.6833	-0.3873	28.8980	180.1141	360.3012	180.4436	-420.6935	0.0090
0.7000	-0.3873	28.8980	180.1141	360.3012	180.4435	-420.6936	0.0065
0.7167	-0.3872	28.8980	180.1141	360.3012	180.4434	-420.6934	0.0026
0.7333	-0.3872	28.8980	180.1142	360.3012	180.4433	-420.6935	0.0000
0.7500	-0.3872	28.8980	180.1141	360.3012	180.4434	-420.6936	0.0000
0.7667	-0.3872	28.8980	180.1141	360.3012	180.4433	-420.6935	0.0000
0.7833	-0.3871	28.8980	180.1141	360.3013	180.4433	-420.6935	0.0000
0.8000	-0.3871	28.8980	180.1142	360.3012	180.4433	-420.6935	0.0000
0.8167	-0.3871	28.8980	180.1142	360.3012	180.4432	-420.6935	0.0000
0.8333	-0.3871	28.8980	180.1142	360.3012	180.4432	-420.6935	0.0000
0.8500	-0.3870	28.8980	180.1142	360.3012	180.4432	-420.6935	0.0000
0.8667	-0.3870	28.8980	180.1142	360.3012	180.4432	-420.6935	0.0000
0.8833	-0.3870	28.8980	180.1142	360.3012	180.4431	-420.6934	0.0000
0.9000	-0.3870	28.8980	180.1141	360.3013	180.4432	-420.6934	0.0002
0.9167	-0.3869	28.8980	180.1141	360.3012	180.4429	-420.6935	0.0001
0.9333	-0.3870	28.8980	180.1142	360.3012	180.4432	-420.6934	0.0000
0.9500	-0.3870	28.8980	180.1142	360.3013	180.4431	-420.6933	0.0000
0.9667	-0.3870	28.8980	180.1142	360.3013	180.4431	-420.6935	0.0000
